"start_station_name","s_station_uid","avg_lat","avg_lng","instances"
"McClurg Ct & Erie St",1597,"41.89450252089924","-87.61793453044544","16829"
"DuSable Lake Shore Dr & Wellington Ave",1750,"41.936679568843914","-87.63683702047886","16770"
"Halsted St & Polk St",1765,"41.87183659737369","-87.64664340614208","16664"
"State St & Randolph St",1719,"41.88461919205155","-87.62786554960485","16427"
"Southport Ave & Roscoe St",276,"41.943717592207086","-87.66400413235696","16266"
"Aberdeen St & Jackson Blvd",309,"41.87774844540233","-87.65480036039685","16233"
"Rush St & Cedar St",1650,"41.90231198555677","-87.62774852616744","16119"
"Halsted St & Wrightwood Ave",1856,"41.929135066269986","-87.649088873364","16056"
"Franklin St & Lake St",1759,"41.88581593439424","-87.63552776756336","15946"
"Sheridan Rd & Irving Park Rd",274,"41.95424303677882","-87.65441787591482","15882"
"Sedgwick St & Huron St",1755,"41.894656648798396","-87.63840986659423","15771"
"State St & 33rd St",326,"41.83473921450419","-87.62583035932036","15672"
"Kimbark Ave & 53rd St",1844,"41.799491736467836","-87.59480148327688","15638"
"Milwaukee Ave & Grand Ave",262,"41.89158451897938","-87.64835299436953","15171"
"Rush St & Superior St",396,"41.89573711237019","-87.6259909216874","15114"
"Sheffield Ave & Wrightwood Ave",1833,"41.92870155634475","-87.65384096412498","15049"
"Buckingham Fountain",400,"41.87338184984347","-87.62211943953231","15002"
"Cityfront Plaza Dr & Pioneer Ct",380,"41.89053200742095","-87.62209099873081","14979"
"Stockton Dr & Wrightwood Ave",350,"41.93131920335834","-87.63873789430723","14961"
"Pine Grove Ave & Irving Park Rd",1804,"41.954373418332274","-87.64804354364504","14957"
"Sheffield Ave & Wellington Ave",1753,"41.93625700293537","-87.65266297450769","14950"
"State St & Kinzie St",268,"41.88926718051867","-87.62715143268038","14811"
"Clarendon Ave & Gordon Ter",375,"41.957841835970555","-87.64950118602876","14764"
"Mies van der Rohe Way & Chestnut St",395,"41.898568485764144","-87.62197770349684","14762"
"MLK Jr Dr & 29th St",1776,"41.84205765871014","-87.6169976896523","14682"
"Franklin St & Illinois St",1687,"41.89103323809152","-87.63548935928499","14618"
"Sheffield Ave & Webster Ave",1841,"41.92157593066965","-87.65381461291078","14502"
"Clark St & Winnemac Ave",1842,"41.97334330631881","-87.66784731075683","14441"
"Broadway & Belmont Ave",351,"41.94010102972224","-87.6454645076382","14286"
"Wabash Ave & 9th St",1825,"41.87077328030869","-87.62574477911814","14284"
"Broadway & Sheridan Rd",365,"41.952821936506616","-87.65000617843624","14174"
"Clark St & Wellington Ave",1774,"41.93648635566429","-87.64755700738147","13940"
"Sheridan Rd & Montrose Ave",1758,"41.961635879555985","-87.65463711321554","13904"
"Sedgwick St & North Ave",1748,"41.91136951049897","-87.63867526132479","13899"
"Mies van der Rohe Way & Chicago Ave",370,"41.89696352085894","-87.62179118281155","13831"
"Wabash Ave & Wacker Pl",1772,"41.88686353219763","-87.62606343665837","13735"
"Field Blvd & South Water St",397,"41.886351714784155","-87.6175314355214","13590"
"Bissell St & Armitage Ave*",1866,"41.91831730638696","-87.65217491032574","13463"
